,energy,danceability,speechiness,acousticness,liveness,valence
438,0.577,0.88,0.302,0.0564,0.201,0.74
439,0.608,0.588,0.0365,0.225,0.092,0.508
440,0.909,0.578,0.0628,0.0222,0.333,0.541
441,0.444,0.506,0.0285,0.0538,0.123,0.241
442,0.891,0.574,0.157,0.0847,0.16,0.707
443,0.771,0.793,0.0959,0.0337,0.284,0.835
444,0.473,0.563,0.0503,0.514,0.109,0.405
445,0.373,0.609,0.0263,0.849,0.0779,0.13
446,0.634,0.737,0.0424,0.345,0.111,0.528
447,0.64,0.413,0.0427,0.273,0.11,0.149
448,0.377,0.647,0.0375,0.594,0.0768,0.653
449,0.472,0.652,0.0399,0.158,0.121,0.24
450,0.647,0.905,0.107,0.0187,0.282,0.367
451,0.671,0.714,0.362,0.289,0.325,0.641
452,0.711,0.789,0.041,0.0332,0.0876,0.753
453,0.333,0.495,0.0288,0.737,0.112,0.37
454,0.45,0.597,0.0418,0.223,0.382,0.537
455,0.922,0.527,0.0728,0.00475,0.422,0.49
456,0.823,0.676,0.102,0.242,0.0773,0.907
457,0.613,0.397,0.0549,0.0396,0.192,0.405
458,0.756,0.739,0.0394,0.0136,0.37,0.523
459,0.741,0.601,0.0478,0.185,0.415,0.441
460,0.228,0.509,0.0332,0.92,0.104,0.586
461,0.723,0.904,0.26,0.0631,0.185,0.835
462,0.902,0.573,0.054,0.018,0.0928,0.876
463,0.72,0.862,0.0379,0.487,0.0604,0.965
464,0.0,0.0,0.0,0.0,0.0,0.0
465,0.659,0.664,0.0873,0.0625,0.0874,0.797
466,0.633,0.677,0.0771,0.0314,0.112,0.409
467,0.444,0.583,0.0456,0.593,0.353,0.167
468,0.715,0.803,0.298,0.295,0.0574,0.574
469,0.761,0.714,0.0427,0.139,0.241,0.906
470,0.724,0.79,0.0852,0.0696,0.113,0.642
471,0.648,0.444,0.0476,0.288,0.059,0.171
472,0.637,0.77,0.345,0.103,0.171,0.431
473,0.823,0.676,0.102,0.242,0.0773,0.907
474,0.85,0.738,0.0642,0.105,0.23,0.865
